,Census Tract End,count
0,0.0,3
1,48021950100.0,3
2,48021950200.0,3
3,48021950300.0,15
4,48021950400.0,7
5,48021950501.0,2
6,48021950801.0,5
7,48021950802.0,2
8,48055960101.0,8
9,48209010303,3
10,48209010304.0,13
11,48209010701.0,1
12,48209010804,1
13,48209010806.0,2
14,48209010808.0,2
15,48209010809.0,6
16,48209010901.0,5
17,48209010902.0,19
18,48209010905.0,3
19,48209010906.0,28
20,48209010907.0,6
21,48209010908.0,11
22,48209010909.0,25
23,48209010910,60
24,48453000101.0,2895
25,48453000102.0,587
26,48453000203.0,6566
27,48453000204.0,29468
28,48453000205.0,3482
29,48453000206.0,1794
30,48453000302.0,20057
31,48453000304.0,5116
32,48453000305.0,8375
33,48453000306.0,23350
34,48453000307.0,3283
35,48453000401.0,51553
36,48453000402.0,20170
37,48453000500.0,37212
38,48453000601.0,195322
39,48453000603.0,293171
40,48453000604.0,282113
41,48453000700.0,259240
42,48453000801.0,8394
43,48453000802.0,10126
44,48453000803.0,36619
45,48453000804.0,46135
46,48453000901.0,74355
47,48453000902.0,560029
48,48453001000.0,122565
49,48453001100.0,3461279
50,48453001200.0,374555
51,48453001303.0,228617
52,48453001304.0,37731
53,48453001305.0,627094
54,48453001307.0,13392
55,48453001308.0,31490
56,48453001401.0,222779
57,48453001402.0,26192
58,48453001403.0,10418
59,48453001501.0,716
60,48453001503.0,5858
61,48453001504.0,1356
62,48453001505.0,1768
63,48453001602.0,13254
64,48453001603.0,5188
65,48453001604.0,1910
66,48453001605.0,18812
67,48453001606.0,592
68,48453001705.0,10
69,48453001706.0,21
70,48453001707.0,182
71,48453001712.0,1709
72,48453001713.0,398
73,48453001714,20
74,48453001716,36
75,48453001718.0,130
76,48453001719.0,23
77,48453001722.0,26
78,48453001728.0,199
79,48453001729.0,76
80,48453001733.0,2
81,48453001737.0,112
82,48453001738.0,28
83,48453001740.0,23
84,48453001741.0,6
85,48453001742.0,5
86,48453001745.0,9
87,48453001746.0,33
88,48453001747.0,102
89,48453001748.0,207
90,48453001749.0,67
91,48453001750.0,646
92,48453001751.0,12
93,48453001752.0,116
94,48453001753.0,60
95,48453001754.0,60
96,48453001755.0,9
97,48453001756.0,15
98,48453001757.0,5
99,48453001760.0,8
100,48453001761.0,22
101,48453001764,4
102,48453001765.0,9
103,48453001766.0,12
104,48453001768.0,17
105,48453001769.0,27
106,48453001770.0,11
107,48453001772.0,16
108,48453001773.0,2
109,48453001774.0,70
110,48453001775,2
111,48453001776.0,74
112,48453001777.0,33
113,48453001778.0,1
114,48453001779.0,2
115,48453001780.0,2
116,48453001782.0,2
117,48453001783.0,6
118,48453001784.0,4
119,48453001785.0,10
120,48453001786.0,10
121,48453001804.0,864
122,48453001805.0,384
123,48453001806.0,437
124,48453001811.0,281
125,48453001812.0,732
126,48453001813.0,335
127,48453001817.0,561
128,48453001818.0,711
129,48453001819.0,345
130,48453001820.0,223
131,48453001821.0,281
132,48453001822.0,151
133,48453001823.0,210
134,48453001824.0,30
135,48453001826.0,103
136,48453001828.0,3
137,48453001829.0,32
138,48453001832.0,16
139,48453001833.0,149
140,48453001834.0,126
141,48453001835.0,19
142,48453001839.0,65
143,48453001840.0,35
144,48453001841.0,7
145,48453001842.0,22
146,48453001843.0,43
147,48453001844,59
148,48453001845.0,92
149,48453001846.0,7
150,48453001847.0,36
151,48453001848.0,53
152,48453001849.0,1052
153,48453001850.0,61
154,48453001851.0,22
155,48453001853.0,9
156,48453001854.0,20
157,48453001855.0,13
158,48453001856.0,46
159,48453001857.0,18
160,48453001858.0,36
161,48453001859.0,3
162,48453001861.0,12
163,48453001862.0,5
164,48453001863.0,28
165,48453001864.0,19
166,48453001901.0,25036
167,48453001908.0,21
168,48453001910.0,4002
169,48453001911.0,55326
170,48453001912.0,22
171,48453001913.0,10
172,48453001914.0,51
173,48453001915.0,223
174,48453001916.0,6
175,48453001917.0,124
176,48453001918.0,38
177,48453001919.0,889
178,48453002002.0,1853
179,48453002003.0,3550
180,48453002004.0,12040
181,48453002005.0,10655
182,48453002104.0,671
183,48453002105.0,4748
184,48453002106.0,854
185,48453002107.0,983
186,48453002108.0,564
187,48453002109.0,3367
188,48453002110.0,2154
189,48453002111.0,14884
190,48453002112.0,659
191,48453002113.0,247
192,48453002201.0,167
193,48453002202.0,169
194,48453002207.0,108
195,48453002208.0,186
196,48453002209.0,20
197,48453002211.0,22
198,48453002212.0,4
199,48453002304.0,116819
200,48453002307.0,11467
201,48453002308.0,32622
202,48453002310.0,113
203,48453002312.0,3591
204,48453002313.0,5344
205,48453002314.0,16616
206,48453002315.0,9416
207,48453002316.0,21397
208,48453002317.0,25254
209,48453002318.0,22362
210,48453002319.0,8
211,48453002402.0,3507
212,48453002403.0,4103
213,48453002407.0,35
214,48453002409.0,1368
215,48453002410.0,1131
216,48453002411.0,2551
217,48453002412.0,190
218,48453002413.0,183
219,48453002419.0,394
220,48453002421.0,398
221,48453002422.0,672
222,48453002423.0,69
223,48453002424.0,171
224,48453002425.0,46
225,48453002426.0,113
226,48453002427.0,352
227,48453002428.0,38
228,48453002429.0,126
229,48453002430.0,68
230,48453002431.0,1667
231,48453002432.0,25
232,48453002433.0,64
233,48453002434.0,1
234,48453002435.0,38
235,48453002436.0,1
236,48453002500.0,29
237,48453980000.0,70
238,48491020106.0,2
239,48491020108.0,5
240,48491020109.0,1
241,48491020110.0,2
242,48491020113.0,1
243,48491020114.0,8
244,48491020115.0,4
245,48491020204.0,4
246,48491020301.0,1
247,48491020302.0,3
248,48491020310.0,1
249,48491020311.0,8
250,48491020312.0,1
251,48491020313,5
252,48491020316.0,4
253,48491020317.0,6
254,48491020318.0,9
255,48491020319.0,1
256,48491020320.0,4
257,48491020323,2
258,48491020324.0,1
259,48491020325.0,1
260,48491020326.0,1
261,48491020327.0,1
262,48491020328.0,14
263,48491020405.0,17
264,48491020406.0,88
265,48491020408.0,35
266,48491020409.0,4
267,48491020410.0,18
268,48491020411,5
269,48491020503.0,6
270,48491020504,16
271,48491020506.0,4
272,48491020508,6
273,48491020509.0,1
274,48491020510.0,1
275,48491020602,9
276,48491020605.0,1
277,48491020701.0,20
278,48491020703.0,23
279,48491020704.0,4
280,48491020706.0,1
281,48491020707.0,8
282,48491020708.0,11
283,48491020803.0,3
284,48491020804.0,2
285,48491020805.0,2
286,48491020806.0,6
287,48491020807.0,20
288,48491020900,1
289,48491021401.0,2
290,48491021402.0,4
291,48491021403.0,4
292,48491021502.0,2
293,48491021503.0,2
294,48491021504.0,7
295,48491021505.0,3
296,48491021507,9
297,48491021508,4
298,48491021601.0,1
299,48491021603.0,7
300,48021950300,4
301,48021950502,1
302,48021950801,1
303,48021950802,7
304,48055960101,4
305,48209010304,6
306,48209010702,1
307,48209010804,1
308,48209010806,1
309,48209010807,1
310,48209010808,1
311,48209010809,1
312,48209010901,3
313,48209010902,9
314,48209010905,1
315,48209010906,3
316,48209010907,4
317,48209010908,11
318,48209010909,32
319,48209010910,28
320,48453000101,3058
321,48453000102,813
322,48453000203,10493
323,48453000204,39279
324,48453000205,6946
325,48453000206,3468
326,48453000302,30596
327,48453000304,7514
328,48453000305,12643
329,48453000306,63500
330,48453000307,4986
331,48453000401,162019
332,48453000402,31851
333,48453000500,72527
334,48453000601,730001
335,48453000603,482820
336,48453000604,406169
337,48453000700,225925
338,48453000801,8127
339,48453000802,8107
340,48453000803,28643
341,48453000804,37399
342,48453000901,55376
343,48453000902,399202
344,48453001000,86153
345,48453001100,2732445
346,48453001200,346125
347,48453001303,206458
348,48453001304,30035
349,48453001305,452259
350,48453001307,11097
351,48453001308,25510
352,48453001401,159703
353,48453001402,15939
354,48453001403,7104
355,48453001501,2052
356,48453001503,8134
357,48453001504,4194
358,48453001505,3556
359,48453001602,16262
360,48453001603,5749
361,48453001604,2810
362,48453001605,16298
363,48453001606,366
364,48453001705,227
365,48453001706,104
366,48453001707,421
367,48453001712,1995
368,48453001713,579
369,48453001714,52
370,48453001716,24
371,48453001718,307
372,48453001719,80
373,48453001722,115
374,48453001728,346
375,48453001729,79
376,48453001733,1
377,48453001737,14
378,48453001738,66
379,48453001740,59
380,48453001741,8
381,48453001745,22
382,48453001746,42
383,48453001747,158
384,48453001748,154
385,48453001749,81
386,48453001750,851
387,48453001751,282
388,48453001752,199
389,48453001753,646
390,48453001754,386
391,48453001755,17
392,48453001756,8
393,48453001757,51
394,48453001760,17
395,48453001761,14
396,48453001764,1
397,48453001765,7
398,48453001766,1
399,48453001768,1
400,48453001769,25
401,48453001770,5
402,48453001772,15
403,48453001773,1
404,48453001774,16
405,48453001775,1
406,48453001776,27
407,48453001777,39
408,48453001779,2
409,48453001781,4
410,48453001782,14
411,48453001783,3
412,48453001784,6
413,48453001785,61
414,48453001786,14
415,48453001804,1067
416,48453001805,536
417,48453001806,444
418,48453001811,386
419,48453001812,1053
420,48453001813,366
421,48453001817,1672
422,48453001818,1489
423,48453001819,445
424,48453001820,763
425,48453001821,1083
426,48453001822,635
427,48453001823,576
428,48453001824,38
429,48453001826,369
430,48453001828,50
431,48453001829,101
432,48453001832,37
433,48453001833,231
434,48453001834,202
435,48453001835,36
436,48453001839,132
437,48453001840,65
438,48453001841,40
439,48453001842,21
440,48453001843,167
441,48453001844,401
442,48453001845,355
443,48453001846,21
444,48453001847,125
445,48453001848,195
446,48453001849,14131
447,48453001850,1160
448,48453001851,25
449,48453001853,4
450,48453001854,2
451,48453001855,21
452,48453001856,46
453,48453001857,27
454,48453001858,2
455,48453001860,4
456,48453001861,4
457,48453001862,8
458,48453001863,31
459,48453001864,10
460,48453001901,28061
461,48453001908,21
462,48453001910,3305
463,48453001911,47325
464,48453001912,27
465,48453001913,28
466,48453001914,79
467,48453001915,219
468,48453001916,10
469,48453001917,80
470,48453001918,46
471,48453001919,652
472,48453002002,1651
473,48453002003,2496
474,48453002004,15842
475,48453002005,10993
476,48453002104,891
477,48453002105,5205
478,48453002106,1209
479,48453002107,1151
480,48453002108,582
481,48453002109,3749
482,48453002110,1913
483,48453002111,8265
484,48453002112,836
485,48453002113,222
486,48453002201,75
487,48453002202,131
488,48453002207,23
489,48453002208,162
490,48453002209,7
491,48453002210,3
492,48453002211,27
493,48453002212,14
494,48453002304,108748
495,48453002307,7958
496,48453002308,26430
497,48453002310,121
498,48453002312,3299
499,48453002313,4331
500,48453002314,12986
501,48453002315,6022
502,48453002316,17257
503,48453002317,18137
504,48453002318,19695
505,48453002319,12
506,48453002402,2487
507,48453002403,2992
508,48453002407,36
509,48453002409,422
510,48453002410,690
511,48453002411,2010
512,48453002412,249
513,48453002413,321
514,48453002419,272
515,48453002421,352
516,48453002422,664
517,48453002423,101
518,48453002424,217
519,48453002425,36
520,48453002426,134
521,48453002427,290
522,48453002428,13
523,48453002429,70
524,48453002430,57
525,48453002431,1916
526,48453002432,32
527,48453002433,28
528,48453002434,4
529,48453002435,79
530,48453002436,5
531,48453002500,79
532,48453980000,40
533,48491020112,7
534,48491020114,9
535,48491020301,1
536,48491020310,1
537,48491020311,53
538,48491020312,2
539,48491020316,9
540,48491020317,1
541,48491020318,54
542,48491020320,20
543,48491020322,10
544,48491020324,1
545,48491020326,8
546,48491020327,1
547,48491020328,6
548,48491020403,2
549,48491020404,5
550,48491020405,19
551,48491020406,65
552,48491020408,26
553,48491020409,5
554,48491020410,30
555,48491020411,20
556,48491020503,2
557,48491020504,10
558,48491020506,15
559,48491020507,1
560,48491020508,2
561,48491020509,1
562,48491020510,4
563,48491020602,1
564,48491020703,1
565,48491020704,1
566,48491020803,1
567,48491020806,2
568,48491021402,2
569,48491021503,1
570,48491021505,2
571,48491021508,1
572,OUT_OF_BOUNDS,31092
